algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
A*, manhattan, 15puzzle,"7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10", 46, 36, 1246005, 0.386466, 3.2241e+06
A*, manhattan, 15puzzle,"6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B", 52, 36, 4633695, 1.55738, 2.97532e+06
A*, manhattan, 15puzzle," 12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2 ", na, 34, na, na, na
A*, manhattan, 15puzzle," 14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6 ", na, 41, na, na, na
A*, manhattan, 15puzzle,"10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12", 49, 33, 4274801, 1.45109, 2.94592e+06
A*, manhattan, 15puzzle,"7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B", 54, 34, 16353854, 5.99104, 2.72972e+06
A*, manhattan, 15puzzle,"11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12", 52, 32, 18677405, 6.7417, 2.77043e+06
A*, manhattan, 15puzzle," 5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11 ", na, 40, na, na, na
A*, manhattan, 15puzzle," 14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11 ", na, 33, na, na, na
A*, manhattan, 15puzzle,"13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7", 52, 36, 5139035, 1.77101, 2.90176e+06
A*, manhattan, 15puzzle,"9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12", 54, 38, 15225051, 5.5657, 2.73551e+06
A*, manhattan, 15puzzle,"12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11", 47, 35, 1176850, 0.368136, 3.19678e+06
A*, manhattan, 15puzzle,"12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10", 50, 38, 924670, 0.291304, 3.17424e+06
A*, manhattan, 15puzzle," 14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15 ", na, 43, na, na, na
A*, manhattan, 15puzzle," 14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8 ", na, 42, na, na, na
A*, manhattan, 15puzzle,"6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15", 52, 36, 13508270, 4.66457, 2.89593e+06
A*, manhattan, 15puzzle,"1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10", 55, 39, 26765684, 9.71827, 2.75416e+06
A*, manhattan, 15puzzle,"12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10", 52, 36, 12713220, 4.39977, 2.88952e+06
A*, manhattan, 15puzzle," 8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4 ", na, 40, na, na, na
A*, manhattan, 15puzzle,"9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 49, 35, 6163964, 2.04582, 3.01296e+06
A*, manhattan, 15puzzle,"11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 54, 36, 27024895, 9.56392, 2.82571e+06
A*, manhattan, 15puzzle,"8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 54, 36, 17430250, 6.27238, 2.77889e+06
A*, manhattan, 15puzzle,"4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 42, 30, 266384, 0.070136, 3.79811e+06
A*, manhattan, 15puzzle," 11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B ", na, 48, na, na, na
A*, manhattan, 15puzzle,"12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 50, 32, 13654056, 4.73789, 2.88189e+06
A*, manhattan, 15puzzle,"3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 51, 39, 2858688, 0.93001, 3.07383e+06
A*, manhattan, 15puzzle,"8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 49, 35, 4751572, 1.61025, 2.95083e+06
A*, manhattan, 15puzzle,"6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 47, 35, 1359446, 0.427824, 3.17758e+06
A*, manhattan, 15puzzle,"8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 49, 39, 443845, 0.131505, 3.37512e+06
A*, manhattan, 15puzzle," 10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8 ", na, 33, na, na, na
A*, manhattan, 15puzzle,"12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 53, 39, 14966462, 5.66684, 2.64106e+06
A*, manhattan, 15puzzle,"10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 56, 44, 12988492, 4.44112, 2.9246e+06
A*, manhattan, 15puzzle," 10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5 ", na, 38, na, na, na
A*, manhattan, 15puzzle," 14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6 ", na, 50, na, na, na
A*, manhattan, 15puzzle," 12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1 ", na, 40, na, na, na
A*, manhattan, 15puzzle,"13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 41, 29, 263577, 0.070965, 3.71418e+06
A*, manhattan, 15puzzle," 3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8 ", na, 29, na, na, na
A*, manhattan, 15puzzle,"5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 50, 36, 2853350, 0.938356, 3.0408e+06
A*, manhattan, 15puzzle,"5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 51, 37, 1188219, 0.362081, 3.28164e+06
A*, manhattan, 15puzzle," 15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3 ", na, 35, na, na, na
A*, manhattan, 15puzzle," 11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B ", na, 48, na, na, na
A*, manhattan, 15puzzle,"6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15", 45, 31, 1819299, 0.620843, 2.93037e+06
A*, manhattan, 15puzzle,"4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5", 57, 43, 15371730, 5.82302, 2.63982e+06
A*, manhattan, 15puzzle," 8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3 ", na, 40, na, na, na
A*, manhattan, 15puzzle," 5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1 ", na, 31, na, na, na
A*, manhattan, 15puzzle,"7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14", 47, 31, 4719301, 1.58128, 2.98448e+06
A*, manhattan, 15puzzle," 11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2 ", na, 41, na, na, na
A*, manhattan, 15puzzle," 7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9 ", na, 28, na, na, na
A*, manhattan, 15puzzle,"7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9", 51, 31, 18228643, 6.6208, 2.75324e+06
A*, manhattan, 15puzzle,"6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3", 53, 37, 26104660, 9.35701, 2.78985e+06
A*, manhattan, 15puzzle," 15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11 ", na, 30, na, na, na
A*, manhattan, 15puzzle,"5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14", 44, 30, 2048173, 0.675304, 3.03296e+06
A*, manhattan, 15puzzle," 12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6 ", na, 38, na, na, na
A*, manhattan, 15puzzle,"6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13", 49, 37, 788089, 0.221238, 3.56218e+06
A*, manhattan, 15puzzle,"14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5", 56, 46, 994344, 0.307487, 3.23378e+06
A*, manhattan, 15puzzle,"14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11", 48, 30, 9111482, 3.15804, 2.88517e+06
A*, manhattan, 15puzzle," 15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4 ", na, 41, na, na, na
A*, manhattan, 15puzzle,"B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7", 54, 34, 5002677, 1.69318, 2.9546e+06
A*, manhattan, 15puzzle,"3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11", 53, 41, 2996849, 0.972733, 3.08085e+06
A*, manhattan, 15puzzle,"B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 42, 28, 276203, 0.075062, 3.67966e+06
A*, manhattan, 15puzzle,"11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2", 57, 43, 24759110, 8.82072, 2.80693e+06
A*, manhattan, 15puzzle,"13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7", 53, 39, 3337138, 1.07293, 3.11029e+06
A*, manhattan, 15puzzle," 14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B ", na, 40, na, na, na
A*, manhattan, 15puzzle,"12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8", 49, 31, 7658596, 2.75504, 2.77985e+06
A*, manhattan, 15puzzle," 15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2 ", na, 37, na, na, na
A*, manhattan, 15puzzle,"4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15", 44, 32, 554537, 0.150455, 3.68573e+06
A*, manhattan, 15puzzle,"6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15", 45, 35, 838340, 0.227357, 3.68733e+06
A*, manhattan, 15puzzle,"9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15", 52, 34, 17062088, 6.19837, 2.75268e+06
A*, manhattan, 15puzzle," 15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4 ", na, 43, na, na, na
A*, manhattan, 15puzzle,"11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12", 54, 38, 14078824, 5.31215, 2.65031e+06
A*, manhattan, 15puzzle,"5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3", 50, 36, 2451973, 0.792808, 3.09277e+06
A*, manhattan, 15puzzle," 9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4 ", na, 41, na, na, na
A*, manhattan, 15puzzle," 3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1 ", na, 37, na, na, na
A*, manhattan, 15puzzle,"13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15", 46, 34, 938341, 0.299146, 3.13673e+06
A*, manhattan, 15puzzle,"5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2", 53, 45, 371746, 0.107623, 3.45415e+06
A*, manhattan, 15puzzle,"4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14", 50, 34, 3056887, 0.991661, 3.08259e+06
A*, manhattan, 15puzzle,"1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10", 49, 35, 7143776, 2.63376, 2.71238e+06
A*, manhattan, 15puzzle,"9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3", 44, 32, 827080, 0.236239, 3.50103e+06
A*, manhattan, 15puzzle," B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 ", na, 34, na, na, na
A*, manhattan, 15puzzle," 7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8 ", na, 39, na, na, na
A*, manhattan, 15puzzle,"11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15", 54, 38, 17672463, 6.38103, 2.76953e+06
